        22  
   TTb_17U_294     25076      0.00      1.92     294.1      0.30      0.58      0.08
   TTb_17S_294     16882      0.00      10.6     294.9      0.20      0.38      0.38
   TTb_17N_294     13774      0.00     19.28     295.7      0.20      0.18      0.48
   TTb_17U_330     10733      0.00      2.78     330.0      0.30      0.18      0.08
   TTb_17S_330      8329      0.00      8.76     330.0      0.40      0.48      0.08
   TTb_17N_330     33626      0.00     14.73     330.0      0.30      0.08      0.08
   TTb_17U_348     10096      0.00      7.15     348.0      0.10      0.18      0.38
   TTb_17S_348      9876      0.00     10.38     348.0      0.60      0.08      0.08
   TTb_17N_348     21090      0.00     13.61     348.0      0.60      0.08      0.28
 TTb_17N_350.8     17738      0.22     16.45     350.8      0.20      0.28      0.48
   TTb_17S_370     21248      0.00     14.82     370.0      0.20      0.08      0.28
   TTb_17U_378     33328      0.00     15.02     378.0      0.10      0.08      0.08
   TTb_17S_378     15589      0.00     17.14     378.0      0.20      0.18      0.18
   TTb_17N_378     14750      0.00     19.25     378.0      0.10      0.58      0.08
TTb_17N1_380_8     23358      -3.7     21.48     380.8      0.40      0.18      0.38
TTb_17N2_380_8     27763      -3.5     21.67     380.8      0.10      0.18      0.18
TTb_17N3_380_8     27763     -3.29     21.87     380.8      0.10      0.28      0.08
TTb_17N4_380_8     27763     -3.19     21.96     380.8      0.10      0.28      0.08
   TTb_17S_398     31103      0.00     24.59     398.0      0.10      0.18      0.38
   TTb_17U_401     29131      0.00     24.00     401.0      0.10      0.28      0.48
   TTb_17S_401     19578      0.00     25.83     401.0      0.10      0.58      0.28
   TTb_17N_401     22650      0.00     27.66     401.0      0.10      0.18      0.28
